Vehicle Plate,State,Current State Since (HH:MM:SS),Device Status,Time,Odometer (km),Engine Hours (hrs),Fuel Level (Lts),Updated On,Adblue Level (Lts),Updated On.1,In Hub,In Hub Since (HH:MM:SS),Closest Hub,Address
HR38AE4669,STOPPED,00:08:00,Connected,October 10 2024 02:14 pm,89167,3208.460556,357,October 10 2024 01:37 pm,45,October 10 2024 01:39 pm,SHREE CEMENT LIMITED (Ras) Loading area,26:38:56,-,"Unnamed Road, Bhil Deva, Rajasthan 306101, India"
HR38AE6186,STOPPED,01:08:31,Connected,October 10 2024 02:02 pm,75483,2595.745278,400,October 10 2024 01:06 pm,51,October 10 2024 07:19 am,Ultratech Cement Limited(Unit-Bhiwadi),06:57:16,-,"Plot No - 783A, RIICO Industrial Area, Harchandpur, Bhiwadi, Rajasthan 301019, India"
HR38AE4776,PARKED,166:01:51,Connected,October 03 2024 04:03 pm,86515,3172.968889,237,October 02 2024 08:53 am,48,October 02 2024 02:50 am,-,-,0.1 km from Shree Ashtech Pvt Ltd Plant,"F9PQ+7J IGSTPP, Haryana, India"
HR38AE7281,STOPPED,01:07:49,Connected,October 10 2024 02:10 pm,91356,3359.168889,292,October 10 2024 01:05 pm,41,October 10 2024 09:42 am,-,-,0.1 km from Shree Ashtech Pvt Ltd Plant,"F9PQ+7J IGSTPP, Haryana, India"
HR38AE9145,STOPPED,00:02:50,Connected,October 10 2024 02:15 pm,91622,3197.330556,267,October 10 2024 02:14 pm,31,October 08 2024 06:12 pm,CLP loading,02:48:25,-,"JPL plant Rd, Khorra -N, Haryana 124142, India"
HR38AE1267,STOPPED,44:33:17,Connected,October 10 2024 02:16 pm,89049,3064.327222,78,October 08 2024 05:07 pm,29,October 08 2024 05:08 pm,SAPL parking,44:37:16,-,"F9PQ+7J IGSTPP, Haryana, India"
HR38AE1855,MOVING,00:20:23,Connected,October 10 2024 02:15 pm,91866,3187.3175,400,October 10 2024 02:11 pm,36,October 10 2024 02:12 pm,-,-,6 km from ZIP Enterprises Private Limited,"NH334B, Dhani Chhuchhakwas, Chhuchhakwas, Haryana 124106, India"
HR38AE1584,STOPPED,01:53:07,Connected,October 10 2024 02:11 pm,86456,2932.162222,236,October 10 2024 12:16 pm,16,October 10 2024 09:23 am,Magicrete Building Solutions Pvt Ltd,05:04:22,-,"Unnamed Road, Haryana 124106, India"
HR38AE8283,STOPPED,00:16:39,Connected,October 10 2024 02:02 pm,73165,2680.831944,253,October 10 2024 01:57 pm,39,October 10 2024 11:36 am,SHREE CEMENT LIMITED (Ras) Loading area,02:29:38,-,"Unnamed Road, Bhil Deva, Rajasthan 306101, India"
HR38AE7297,STOPPED,00:16:40,Connected,October 10 2024 02:16 pm,83358,2862.773889,388,October 10 2024 01:54 pm,44,October 10 2024 01:56 pm,-,-,17 km from CEIGALL INFRA PROJECTS PRIVATE LIMITED (Kurukshetra),"Ambala - Hissar Rd, Gangheri, Haryana 136128, India"
HR38AE6724,STOPPED,01:58:12,Connected,October 10 2024 02:13 pm,89071,3273.192222,423,October 10 2024 12:18 pm,39,October 10 2024 11:48 am,Ultratech Cement Ltd (Kotputli),02:27:33,-,"Kansli - Koojota Rd, Koojota, Rajasthan 303108, India"
HR38AE0397,MOVING,00:06:42,Connected,October 10 2024 02:16 pm,74894,2652.796667,378,October 10 2024 02:14 pm,31,October 10 2024 02:15 pm,-,-,17 km from ISC Projects Private Limited,"Unnamed Road, Nikatpura Alias Garhi Si, Haryana 136119, India"
HR38AE4437,STOPPED,02:11:55,Connected,October 10 2024 02:12 pm,88937,3099.685833,99,October 10 2024 10:36 am,22,October 09 2024 07:10 pm,SAPL parking,18:58:55,-,"F9PQ+7J IGSTPP, Haryana, India"
HR38AD1935,STOPPED,04:32:38,Connected,October 10 2024 02:14 pm,80031,2939.066389,404,October 10 2024 09:31 am,24,October 10 2024 09:16 am,JCC Infra Developers Private Limited (Site Chandu),06:34:58,-,"FWHJ+Q3 Gurugram, Haryana, India"
HR38AE7629,MOVING,00:08:30,Connected,October 10 2024 02:15 pm,79325,2827.635556,258,October 10 2024 02:13 pm,39,October 10 2024 02:12 pm,-,-,2 km from UNIVARSAL INFRA PROJECTS(ROHTAK),"NH709, Lahli, Haryana 124411, India"
